jkq-52316,Abba,Gley,04/08/2002,SO,1.1
ote-14850,Alvan,Jaggers,11/13/2007,FR,2.3
xeh-20231,Ravid,Brimilcombe,09/29/2003,JR,3.0
lzg-13504,Dawna,Skade,12/06/2007,FR,3.9
xoj-36562,Angele,Tyreman,07/02/2014,FR,2.5
bay-83465,Ronalda,Shardlow,10/25/2018,FR,3.1
hiq-20215,Doll,Poile,07/09/2012,JR,3.4
tup-92438,Irwinn,Butterfield,07/25/2002,FR,2.2
rup-74961,Kirbie,Jacombs,12/03/2011,SO,2.0
rdy-33778,Blanche,Heart,09/06/2013,FR,3.5
pdb-36572,Berny,Claus,05/02/2012,SO,3.0
isj-84445,Inness,Salvadori,03/22/2005,SO,2.9
wdr-77700,Katharyn,Shorland,05/26/2006,SR,2.1
nns-19047,Celle,Pavolini,03/16/2013,FR,1.8
vtk-25647,Ruthy,Achrameev,06/09/2011,SR,3.8
spi-03803,Courtney,Petracci,02/02/2006,SO,3.4
hle-94324,Wilfrid,Impleton,03/11/2012,JR,1.8
